"","PT","AU","TI","SO","VL","IS","SI","BP","EP","DI","PD","PY","AB","ZB","TC","Z8","ZR","ZS","Z9","SN","EI","UT","ER","PM","AR","MA","SU","OI","RI","BE","CT","CY","CL","SP","BN","SE","BA","D2","S1","GP","Z1","AK","HO","PN","DB","C1","AU_UN","SR"
"MARENKO BETTI, 2016, ","J","MARENKO BETTI;VAN ALLEN PHILIP","ANIMISTIC DESIGN: HOW TO REIMAGINE DIGITAL INTERACTION BETWEEN THE HUMAN AND THE NONHUMAN","DIGITAL CREATIVITY","27","1","SI","52","70","10.1080/14626268.2016.1145127","2016",2016,"THIS ARTICLE PUTS FORWARD THE NOTION OF ANIMISTIC DESIGN AS AN UNCERTAINTY-DRIVEN STRATEGY TO REIMAGINE HUMAN-MACHINE INTERACTION AS A MILIEU OF HUMAN AND NONHUMAN. ANIMISTIC DESIGN IS SUGGESTED AS CAPABLE OF FOSTERING AFFECTS, SENSIBILITIES AND THOUGHTS THAT CAPITALIZE ON THE UNCERTAIN, THE UNPREDICTABLE AND THE NONLINEAR, AND THEIR CAPACITY TO TRIGGER CREATIVE PATHWAYS. INFORMED BY POST-HUMAN PHILOSOPHIES, THEORIES OF MEDIATION AND MATERIALITY, AS WELL AS BY AFFECT, AGENCY AND AESTHESIA, ANIMISTIC DESIGN ESCHEWS THE ANTHROPOMORPHIC AND THE CUTE PLAYFULNESS OFTEN ASSOCIATED WITH ANIMISM. INSTEAD, IT PROPOSES A PRACTICAL-THEORETICAL FRAMEWORK TO ARTICULATE THE NEXUS OF DIGITAL INNOVATION, INTERACTION DESIGN PRACTICES, TECHNICAL MATERIALITIES AND AFFECTIVE RESPONSES ALREADY EMERGING IN THE DIGITAL COHABITATION OF THE HUMAN AND THE NONHUMAN. USING A RESEARCH THROUGH MAKING' APPROACH, THE ARTICLE DESCRIBES IN DETAIL A SERIES OF ANIMISTIC DESIGN EXPERIMENTS AND PROTOTYPING METHODS THAT EXPLORE WAYS OF RETHINKING INTERACTION AS AN OPEN-ENDED AND CREATIVE ENTERPRISE. ANIMISTIC DESIGN OFFERS AN INVESTIGATIVE STRATEGY THAT EXPLOITS DEGREES OF COLLABORATIVELY CURATED UNCERTAINTY AND UNPREDICTABILITY TO IMAGINE FORMS OF DIGITAL INTERACTION, AND TO ENGENDER CREATIVE HUMAN-NONHUMAN RELATIONSHIPS WITHIN A GIVEN DIGITAL MILIEU.","0",1,"0","0","0","1","1462-6268","1744-3806","ISI000374999600006","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"MARENKO BETTI, 2016, "
"GRUBESIC TONY H, 2016, ","B","GRUBESIC TONY H;MACK ELIZABETH A","DIGITAL INNOVATION AND ENTREPRENEURSHIP","BROADBAND TELECOMMUNICATIONS AND REGIONAL DEVELOPMENT","11",NA,NA,"144","170",NA,"2016",2016,NA,"0",0,"0","0","0","0",NA,NA,"ISI000372411100008","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-1-315-79495-2; 978-1-138-01391-9","ROUTLEDGE ADVANCES IN REGIONAL ECONOMICS SCIENCE AND POLICY","GRUBESIC, TH;   MACK, EA",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"GRUBESIC TONY H, 2016, "
"TRAPPEY CHARLES V, 2016, ","J","TRAPPEY CHARLES V;TRAPPEY AMY J C;MULAOMEROVIC ELMA","IMPROVING THE GLOBAL COMPETITIVENESS OF RETAILERS USING A CULTURAL ANALYSIS OF IN-STORE DIGITAL INNOVATIONS","INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT","70","1","SI","25","43","10.1504/IJTM.2016.074647","2016",2016,"GLOBAL RETAILERS ARE EXPANDING THEIR BUSINESS TO COUNTRIES WITH DIVERSE CULTURES AND CONSUMER PREFERENCES. COMPETITIVE AND SUSTAINABLE RETAIL CHAINS REQUIRE ADVANCED E-SERVICES LINKED TO IN-STORE DIGITAL INNOVATIONS. THIS RESEARCH FOCUSES ON CULTURAL DIMENSIONS AND THE IMPLICATIONS OF IMPLEMENTING GLOBAL AND INTERNET-LINKED E-SERVICE INNOVATIONS. THE RESEARCH STUDIES HOW CULTURAL DIMENSIONS INFLUENCE CONSUMERS' ATTITUDES TOWARD FIVE TYPES OF RETAIL INNOVATIONS. THE CULTURAL DIMENSIONS INCLUDE UNCERTAINTY AVOIDANCE AND COLLECTIVISTIC CULTURAL DIMENSIONS TO PREDICT ACCEPTANCE. THE RESEARCH CASE COMPARES DIFFERENCES BETWEEN TAIWANESE AND SWEDISH UNIVERSITY STUDENTS. A MULTI-ATTRIBUTE MODEL SHOWS THAT TAIWANESE PREFER INNOVATIONS WITH A LOWER LEVEL OF SELF-SERVICE. ON THE OTHER HAND, SWEDISH PREFER OPPOSITE TYPES OF RETAIL INNOVATIONS. WE PROPOSE FUTURE RESEARCH TO SHOW THAT THESE BARRIERS OF ACCEPTANCE CAN BE LOWERED THROUGH THE USE OF ADVERTISING, SOCIAL MEDIA, AND IN-STORE INTERACTION BETWEEN CUSTOMERS AND STAFF. THE RESEARCH YIELDS NEW RESEARCH DIRECTIONS TO HELP INTERNATIONAL RETAILERS DEVELOP COMPETITIVE STRATEGIES TO FIT THE CULTURAL CHARACTERISTICS OF CONSUMERS.","0",1,"0","0","0","1","0267-5730","1741-5276","ISI000370297000003","",NA,NA,NA,NA,"TRAPPEY, CHARLES/0000-0002-3069-6702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"TRAPPEY CHARLES V, 2016, "
"ARTS KOEN, 2016, ","J","ARTS KOEN;IORIS ANTONIO A R;MACLEOD CHRISTOPHER J A;HAN XIWU;SRIPADA SOMAYAJULU G;BRAGA JOAO R Z;VAN DER WAL RENE","ENVIRONMENTAL COMMUNICATION IN THE INFORMATION AGE: INSTITUTIONAL BARRIERS AND OPPORTUNITIES IN THE PROVISION OF RIVER DATA TO THE GENERAL PUBLIC","ENVIRONMENTAL SCIENCE & POLICY","55",NA,NA,"47","53","10.1016/J.ENVSCI.2015.08.011","JAN 2016",2016,"IN AN ERA OF INCREASED HUMAN PRESSURE ON PLANET EARTH, SOUND ENVIRONMENTAL GOVERNANCE REGIMES ARE MORE IMPORTANT THAN EVER. DIGITAL TECHNOLOGIES ARE INCREASINGLY TURNED TO BY ENVIRONMENTAL REGULATORS TO AID GOVERNANCE AND COMMUNICATION. WE EXAMINE THE 'BEHIND THE SCENES' INSTITUTIONAL DYNAMICS OF A PUBLIC BODY IN ITS DIGITAL INFORMATION PROVISION (SPECIFICALLY DYNAMIC RIVER LEVEL INFORMATION). BASED ON IN-DEPTH INTERVIEWS WITH STAFF ACROSS A LARGE ENVIRONMENTAL REGULATOR WE HAVE BROUGHT TO LIGHT FOUR PIVOTAL AREAS OF INSTITUTIONAL DYNAMICS: (1) INSTITUTIONAL PRIORITY AND PATH DEPENDENCY (2) MANAGEMENT AND RESOURCES (3) INSTITUTIONAL IDENTITY AND INTERDEPARTMENTAL DYNAMICS; AND (4) ABILITY AND WILLINGNESS TO CHANGE. WE GAINED INSIGHT INTO EXPLICIT AND COVERT BARRIERS AND OPPORTUNITIES IN RELATION TO DIGITAL INFORMATION PROVISION THAT ARE LIKELY TO OCCUR IN OTHER PUBLIC INSTITUTIONS TOO. BESIDES IDENTIFIED BARRIERS THAT WERE OF A TECHNICAL, STRUCTURAL, MANAGERIAL OR CULTURAL NATURE, ARGUABLY THE MOST IMPORTANT BARRIER WAS CONCEPTUAL, I.E. THE PREVALENCE OF 'EFFICIENCY AND EFFICACY' PERSPECTIVES ON INFORMATION AND COMMUNICATIONS TECHNOLOGY (ICT) AMONGST STAFF, IN WHICH ICT IS PRIMARILY PERCEIVED AS A NEUTRAL SOLUTION IN ITSELF TO A WIDE VARIETY OF ISSUES. OPPORTUNITIES WERE NONETHELESS PRESENT IN THE FORM OF ENTHUSIASM AND SOME CRITICAL THINKING ABOUT DIGITAL INNOVATION AMONG STAFF, AND AN EMPHASIS ON THE IMPORTANCE OF STAKEHOLDER INCLUSION IN THE DESIGN OF ICT. WE CONCLUDE THAT THERE IS A NEED TO CONNECT INSTITUTIONAL SOCIAL LEARNING WITH THE DEVELOPMENT OF 'CONCEPTUAL PERSPECTIVES' ON ICT, IN WHICH ICT IS NOT SEEN AS A SOLUTION IN ITSELF, BUT AS A SET OF TOOLS IN A WIDER TRANSFORMATIONAL PROCESS, OR AS A LENS TO LOOK AT EXISTING OR NEW PRACTICES. THIS IS MORE LIKELY TO STRENGTHEN CORNERSTONES OF CONTEMPORARY ENVIRONMENTAL GOVERNANCE, SUCH AS IMPROVED INFORMATION ACCESS AND RECONCEPTUALISATIONS OF 'TRADITIONAL' BARRIERS OF UNCERTAINTY, LIABILITY AND DISTRUST IN RELATION TO INFORMATION PROVISION. (C) 2015 THE AUTHORS. PUBLISHED BY ELSEVIER LTD.","1",3,"0","0","0","3","1462-9011","1873-6416","ISI000366775200005","",NA,NA,NA,NA,"IORIS, ANTONIO AUGUSTO ROSSOTTO/0000-0003-0156-2737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","ISI",NA,NA,"ARTS KOEN, 2016, "
"LOWERY C, 2016, ","S","LOWERY C;KING M","A PLATFORM FOR DIGITAL INNOVATION IN THE MANAGEMENT AND ADMINISTRATION OF ASSESSMENT AND FEEDBACK","ICERI2016: 9TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND;   INNOVATION",NA,NA,NA,"8246","8256",NA,"2016",2016,"THIS PAPER OUTLINES A SERIES OF KEY DEVELOPMENTS AND INTERVENTIONS THAT HAVE ENABLED A PLATFORM FOR DIGITAL INNOVATION IN THE MANAGEMENT AND ADMINISTRATION OF THE ASSESSMENT AND FEEDBACK PROCESSES WITHIN A TOP 10 UK UNIVERSITY. THE JOINED UP PLATFORM OF TECHNOLOGICAL SOLUTIONS AND ASSOCIATED TRANSFORMATIVE STAFF PRACTICES DEMONSTRATED A WIDE IMPACT ON EFFICIENCY AND PRODUCTIVITY ACROSS THE ORGANISATION. THE INITIATIVE ADOPTED NEW APPROACHES TO INNOVATION AND CHANGE TO HELP DEAL WITH TWO MAJOR CHALLENGES: 1 ADDRESSING THE TECHNICAL, ORGANISATIONAL AND CULTURAL COMPLEXITY OF SUCH A PROGRAMME OF WORK. 2 ADDRESSING THE CHALLENGE OF LIMITED RESOURCES WITH WHICH TO DELIVER LEAN, PRACTICAL AND USEFUL DIGITAL SOLUTIONS THAT CAN BE EFFICIENTLY AND EFFECTIVELY ADOPTED BY STAFF AND SCALED UP ACROSS THE INSTITUTION. OUR CHALLENGE -MEMBERS OF STAFF USE A DISPARATE SET OF LEARNING TECHNOLOGIES AND DESKTOP SOFTWARE TO CREATE AND DELIVER ASSESSMENTS AND TO MARK WORK AND PROVIDE FEEDBACK TO STUDENTS. EACH DEPARTMENT AND SCHOOL TENDED TO OPERATE USING A DIFFERENT SET OF PROCEDURES AND FORMS TO ISSUE ASSESSMENTS AND COLLECT SUBMISSIONS, REGISTER PARTICIPATION AND PROVIDE FEEDBACK. THERE WAS NO CLEAR AND CONSISTENT MECHANISM TO RETURN WORK BACK TO STUDENTS OR TO CHECK THE CONSISTENCY AND QUALITY OF FEEDBACK. INDIVIDUAL PRACTICES AND ATTITUDES VARIED AND ACADEMIC STAFF NEEDED TO BE CONVINCED THAT NEW WAYS OF WORKING WOULD BE BETTER FOR THEMSELVES AND THEIR STUDENTS, ESPECIALLY WITH REGARDS TO ADOPTING AND ACCEPTING NEW TECHNOLOGIES. OUR APPROACH - THIS PAPER DESCRIBES THE PRAGMATIC AND AGILE WAY IN WHICH A SMALL TEAM SET OUT TO TRY AND IMPROVE THINGS ONE STEP AT A TIME WITH THE LIMITED RESOURCES THAT WERE AVAILABLE TO THEM. THIS INITIATIVE WAS A COMMUNITY DRIVEN ACTIVITY TAKING AN AGILE AND VERY LEAN APPROACH TO CHANGE. IT WAS RECOGNISED THAT CHANGES TO PEDAGOGIC AND ADMINISTRATIVE PRACTICES, AS WELL AS DEVELOPMENT OF A VARIETY OF DIGITAL SOLUTIONS WOULD BE REQUIRED. THE SOLUTION - THE DIGITAL PLATFORM DEVELOPED (CONTAINING 5 COMPONENTS) COMPRISES FEATURES FOR ASSESSMENT PLANNING COMMUNICATION COLLECTING DATA ON SUBMISSIONS COLLATING DATA ON FEEDBACK AND RETURNS USING THE DATA TO PROVIDE ACTIONABLE INSIGHTS IN STUDENT ENGAGEMENT AND STAFF PRACTICES SUPPORT A FEEDBACK DIALOGUE BETWEEN MULTIPLE STAFF AND STUDENTS CREATE A DIGITAL PLATFORM ARCHITECTURE UNDERPINNING MULTIPLE ASSESSMENTS, SUBMISSIONS AND FEEDBACK TYPES AND APPLICATIONS THE CREATION OF AN ASSESSMENT AND SUBMISSION DATA STANDARD IN ORDER TO JOIN UP DATA IN DISPARATE SYSTEMS. DIGITAL INNOVATION - ALL STAFF EMBRACED NEW SOCIAL AND TECHNICAL METHODOLOGIES TO ADDRESS PEDAGOGIC PRACTICES AND TECHNICAL HURDLES. 2014/15 MARKED A SIGNIFICANT YEAR IN THE PROCESS OF DEVELOPMENT AND ADOPTION. THE CASPA APPLICATION BECAME A MATURE, USEFUL AND HIGHLY USED PRODUCT. THE ROLL-OUT OF STAND-ALONE KIOSKS AND INTEGRATION OF ASSESSMENT AND SUBMISSION DATA INTO THE TUTORING SYSTEM CO-TUTOR, WAS SO SUCCESSFUL, THAT ADOPTION WENT FROM 4 DEPARTMENTS TO 9 IN ONE YEAR WITH MINIMAL NEED FOR ADVOCACY OR SUPPORT. SYSTEMS INTEGRATION WORK VIA A DATA WAREHOUSE, CREATING A TAXONOMY FOR ASSESSMENTS, SUBMISSIONS AND FEEDBACK DATA, IS INNOVATIVE IN THE SECTOR ALLOWING MULTIPLE LEARNING TECHNOLOGIES TO 'TALK TO EACH OTHER' EFFECTIVELY. THIS PAPER WILL BE OF INTEREST TO PRACTITIONERS AND IT STAFF WHO ARE INVOLVED IN THE DEVELOPMENT, IMPLEMENTATION AND EMBEDDING OF SYSTEMS AND PROCESS IN THEIR OWN UNIVERSITIES.","0",0,"0","0","0","0","2340-1095",NA,"ISI000417330208036","",NA,NA,NA,NA,NA,NA,"CHOVA, LG;   MARTINEZ, AL;   TORRES, IC","9TH ANNUAL INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND;   INNOVATION (ICERI)","NOV 14-16, 2016","SEVILLE, SPAIN",NA,"978-84-617-5895-1","ICERI PROCEEDINGS",NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"LOWERY C, 2016, "
"BOUDREAU KEVIN J, 2015, ","J","BOUDREAU KEVIN J;JEPPESEN LARS B","UNPAID CROWD COMPLEMENTORS: THE PLATFORM NETWORK EFFECT MIRAGE","STRATEGIC MANAGEMENT JOURNAL","36","12",NA,"1761","1777","10.1002/SMJ.2324","DEC 2015",2015,"PLATFORMS HAVE EVOLVED BEYOND JUST BEING ORGANIZED AS MULTI-SIDED MARKETS WITH COMPLEMENTORS SELLING TO USERS. COMPLEMENTORS ARE OFTEN UNPAID, WORKING OUTSIDE OF A PRICE SYSTEM AND DRIVEN BY HETEROGENEOUS SOURCES OF MOTIVATIONWHICH SHOULD AFFECT HOW THEY RESPOND TO PLATFORM GROWTH. DOES RELIANCE ON NETWORK EFFECTS AND STRATEGIES TO ATTRACT LARGE NUMBERS OF COMPLEMENTORS REMAIN ADVISABLE IN SUCH CONTEXTS? WE TEST HYPOTHESES RELATED TO THESE ISSUES USING DATA FROM 85 ONLINE MULTI-PLAYER GAME PLATFORMS WITH UNPAID COMPLEMENTORS. WE FIND THAT COMPLEMENTOR DEVELOPMENT RESPONDS TO PLATFORM GROWTH EVEN WITHOUT SALES INCENTIVES, BUT THAT ATTRACTING COMPLEMENTORS HAS A NET ZERO EFFECT ON ON-GOING DEVELOPMENT AND FAILS TO STIMULATE NETWORK EFFECTS. WE DISCUSS CONDITIONS UNDER WHICH A STRATEGY OF USING UNPAID CROWD COMPLEMENTORS REMAINS ADVANTAGEOUS. COPYRIGHT (C) 2014 JOHN WILEY & SONS, LTD.","0",15,"0","0","0","15","0143-2095","1097-0266","ISI000363513600001","",NA,NA,NA,NA,"BOUDREAU, KEVIN/0000-0003-2787-9599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"BOUDREAU KEVIN J, 2015, "
"ARTS KOEN, 2015, ","J","ARTS KOEN;VAN DER WAL RENE;ADAMS WILLIAM M","DIGITAL TECHNOLOGY AND THE CONSERVATION OF NATURE","AMBIO","44",NA,"SI","S661","S673","10.1007/S13280-015-0705-1","NOV 2015",2015,"DIGITAL TECHNOLOGY IS CHANGING NATURE CONSERVATION IN INCREASINGLY PROFOUND WAYS. WE DESCRIBE THIS IMPACT AND ITS SIGNIFICANCE THROUGH THE CONCEPT OF 'DIGITAL CONSERVATION', WHICH WE FOUND TO COMPRISE FIVE PIVOTAL DIMENSIONS: DATA ON NATURE, DATA ON PEOPLE, DATA INTEGRATION AND ANALYSIS, COMMUNICATION AND EXPERIENCE, AND PARTICIPATORY GOVERNANCE. EXAMINING DIGITAL INNOVATION IN NATURE CONSERVATION AND ADDRESSING HOW ITS DEVELOPMENT, IMPLEMENTATION AND DIFFUSION MAY BE STEERED, WE WARN AGAINST HYPES, TECHNO-FIX THINKING, GOOD NEWS NARRATIVES AND UNVERIFIED ASSUMPTIONS. WE IDENTIFY A NEED FOR RIGOROUS EVALUATION, MORE COMPREHENSIVE CONSIDERATION OF SOCIAL EXCLUSION, FRAMEWORKS FOR REGULATION AND INCREASED MULTI-SECTOR AS WELL AS MULTI-DISCIPLINE AWARENESS AND COOPERATION. ALONG THE WAY, DIGITAL TECHNOLOGY MAY BEST BE RECONCEPTUALISED BY CONSERVATIONISTS FROM SOMETHING THAT IS EITHER GOOD OR BAD, TO A DUAL-FACED FORCE IN NEED OF GUIDANCE.","15",26,"0","0","0","26","0044-7447","1654-7209","ISI000363840100014","","26508352",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"ARTS KOEN, 2015, "
"GALAN-DIAZ CARLOS, 2015, ","J","GALAN-DIAZ CARLOS;EDWARDS PETER;NELSON JOHN D;VAN DER WAL RENE","DIGITAL INNOVATION THROUGH PARTNERSHIP BETWEEN NATURE CONSERVATION ORGANISATIONS AND ACADEMIA: A QUALITATIVE IMPACT ASSESSMENT","AMBIO","44",NA,"SI","S538","S549","10.1007/S13280-015-0704-2","NOV 2015",2015,"NATURE CONSERVATION ORGANISATIONS INCREASINGLY TURN TO NEW DIGITAL TECHNOLOGIES TO HELP DELIVER CONSERVATION OBJECTIVES. THIS HAS LED TO COLLABORATIVE FORMS OF WORKING WITH ACADEMIA TO SPEARHEAD DIGITAL INNOVATION. THROUGH IN-DEPTH INTERVIEWS WITH THREE UK RESEARCH-COUNCIL-FUNDED CASE STUDIES, WE SHOW THAT BY WORKING WITH ACADEMICS CONSERVATION ORGANISATIONS CAN RECEIVE POSITIVE AND NEGATIVE IMPACTS, SOME OF WHICH CUT ACROSS THEIR OPERATIONS. POSITIVE IMPACTS INCLUDE NEW WAYS OF ENGAGING WITH AUDIENCES, IMPROVED DATA WORKFLOWS, FINANCIAL BENEFITS, CAPACITY BUILDING AND THE NECESSARY DIGITAL INFRASTRUCTURE TO HELP THEM INFLUENCE POLICY. NEGATIVE IMPACTS INCLUDE THE TIME AND RESOURCES REQUIRED TO LEARN NEW SKILLS AND SUSTAIN NEW TECHNOLOGIES, MANAGING DIFFERENT ORGANISATIONAL OBJECTIVES AND SHIFTS IN WORKING PRACTICES AS A RESULT OF THE NEW TECHNOLOGIES. MOST IMPORTANTLY, COLLABORATION WITH ACADEMICS WAS SHOWN TO BRING THE OPPORTUNITY OF A PROFOUND CHANGE IN PERSPECTIVES ON TECHNOLOGIES WITH BENEFITS TO THE PARTNER ORGANISATIONS AND INDIVIDUALS THEREIN.","5",5,"0","0","0","5","0044-7447","1654-7209","ISI000363840100004","","26508342",NA,NA,"4","GALAN-DIAZ, CARLOS/0000-0002-9006-5670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"GALAN-DIAZ CARLOS, 2015, "
"MAFFEY GEORGINA, 2015, ","J","MAFFEY GEORGINA;HOMANS HILARY;BANKS KEN;ARTS KOEN","DIGITAL TECHNOLOGY AND HUMAN DEVELOPMENT: A CHARTER FOR NATURE CONSERVATION","AMBIO","44",NA,"SI","S527","S537","10.1007/S13280-015-0703-3","NOV 2015",2015,"THE APPLICATION OF DIGITAL TECHNOLOGY IN CONSERVATION HOLDS MUCH POTENTIAL FOR ADVANCING THE UNDERSTANDING OF, AND FACILITATING INTERACTION WITH, THE NATURAL WORLD. IN OTHER SECTORS, DIGITAL TECHNOLOGY HAS LONG BEEN USED TO ENGAGE COMMUNITIES AND SHARE INFORMATION. HUMAN DEVELOPMENT-WHICH HOLDS PARALLELS WITH THE NATURE CONSERVATION SECTOR-HAS SEEN A PROLIFERATION OF INNOVATION IN TECHNOLOGICAL DEVELOPMENT. THROUGHOUT THIS PERSPECTIVE, WE CONSIDER WHAT NATURE CONSERVATION CAN LEARN FROM THE INTRODUCTION OF DIGITAL TECHNOLOGY IN HUMAN DEVELOPMENT. FROM THIS, WE DERIVE A CHARTER TO BE USED BEFORE AND THROUGHOUT PROJECT DEVELOPMENT, IN ORDER TO HELP REDUCE REPLICATION AND FAILURE OF DIGITAL INNOVATION IN NATURE CONSERVATION PROJECTS. WE ARGUE THAT THE PROPOSED CHARTER WILL PROMOTE COLLABORATION WITH THE DEVELOPMENT OF DIGITAL TOOLS AND ENSURE THAT NATURE CONSERVATION PROJECTS PROGRESS APPROPRIATELY WITH THE DEVELOPMENT OF NEW DIGITAL TECHNOLOGIES.","7",8,"0","0","0","8","0044-7447","1654-7209","ISI000363840100003","","26508341",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"MAFFEY GEORGINA, 2015, "
"NEWEY SCOTT, 2015, ","J","NEWEY SCOTT;DAVIDSON PAUL;NAZIR SAJID;FAIRHURST GORRY;VERDICCHIO FABIO;IRVINE R JUSTIN;VAN DER WAL RENE","LIMITATIONS OF RECREATIONAL CAMERA TRAPS FOR WILDLIFE MANAGEMENT AND CONSERVATION RESEARCH: A PRACTITIONER'S PERSPECTIVE","AMBIO","44",NA,"SI","S624","S635","10.1007/S13280-015-0713-1","NOV 2015",2015,"THE AVAILABILITY OF AFFORDABLE 'RECREATIONAL' CAMERA TRAPS HAS DRAMATICALLY INCREASED OVER THE LAST DECADE. WE PRESENT SURVEY RESULTS WHICH SHOW THAT MANY CONSERVATION PRACTITIONERS USE CHEAPER 'RECREATIONAL' UNITS FOR RESEARCH RATHER THAN MORE EXPENSIVE 'PROFESSIONAL' EQUIPMENT. WE PRESENT OUR PERSPECTIVE OF USING TWO POPULAR MODELS OF 'RECREATIONAL' CAMERA TRAP FOR ECOLOGICAL FIELD-BASED STUDIES. THE MODELS USED (FOR > 2 YEARS) PRESENTED US WITH A RANGE OF PRACTICAL PROBLEMS AT ALL STAGES OF THEIR USE INCLUDING DEPLOYMENT, OPERATION, AND DATA MANAGEMENT, WHICH COLLECTIVELY CRIPPLED DATA COLLECTION AND LIMITED OPPORTUNITIES FOR QUANTIFICATION OF KEY ISSUES ARISING. OUR EXPERIENCES DEMONSTRATE THAT PROSPECTIVE USERS NEED TO HAVE A SUFFICIENT UNDERSTANDING OF THE LIMITATIONS CAMERA TRAP TECHNOLOGY POSES, DIMENSIONS WE COMMUNICATE HERE. WHILE THE MERITS OF DIFFERENT CAMERA TRAPS WILL BE STUDY SPECIFIC, THE PERFORMANCE OF MORE EXPENSIVE 'PROFESSIONAL' MODELS MAY PROVE MORE COST-EFFECTIVE IN THE LONG-TERM WHEN USING CAMERA TRAPS FOR RESEARCH.","9",13,"0","0","0","13","0044-7447","1654-7209","ISI000363840100011","","26508349",NA,NA,"4","NEWEY, SCOTT/0000-0002-2264-964X; IRVINE, ROBERT/0000-0002-0411-6217;;   FAIRHURST, GORRY/0000-0003-4650-3423","NEWEY, SCOTT/A-5079-2010; IRVINE, ROBERT/G-5074-2012; FAIRHURST, GORRY/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"NEWEY SCOTT, 2015, "
"KELSEY TIM, 2015, ","J","KELSEY TIM","ON DIGITAL INNOVATION. A DIGITAL NHS IS A MORAL IMPERATIVE.","THE HEALTH SERVICE JOURNAL","125","6457",NA,"16","7",NA,"2015-SEP-02",2015,NA,"0",0,"0","0","0","0","0952-2271",NA,"MEDLINE:26619644","","26619644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"KELSEY TIM, 2015, "
